checkpoint,release_k,fixed_entry_occupancy_median,transported_image_capture_median,unit_count,population,source_sha256
291403,8,0.1280313469576091,0.8473270990381186,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,9,0.1155824642693424,0.8555141477012513,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,10,0.10781890275240921,0.8910970999658807,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,11,0.10623844184924938,0.9092034221683247,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291403,12,0.10633657526162542,0.9173971808914736,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291404,1,0.008107638996339884,0.9736936732710577,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291404,2,0.008739779283552785,0.9779792102948721,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291404,3,0.009435087673538914,0.9796008203147062,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291404,4,0.010380438174464702,0.9796787593887237,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291404,5,0.013279947641573885,0.9796111659335747,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291404,6,0.017859524230996668,0.980473958871717,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291404,7,0.020114136226393842,0.9796200131353121,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
291404,8,0.020776940119925563,0.9762723366197785,1024,W30_CARRIER_FIT,70B3D8DF8E0869BD919C28615113A860D77AE3195E274913B46AC51467472E23
