checkpoint_seed,direction_family,direction_family_index,direction_index,direction_rng_seed_or_hash,direction_vector_or_lossless_reference,direction_vector_sha256,directional_cosine,epsilon_applied,epsilon_ref,g_actual,g_pred,gamma_local,producer_future_dtype,producer_predicted_dtype,record_index,route,stable_unit_id,stratum
291402,random_orthogonal,9,29,rng_seed:16332326248041890347,causal_direction_vectors.npz:direction_vectors[29],D0973B9BABB9C0CCA606ABC220E8E0E524465834476B2B0D58823C4E2FA066BE,0.9999975234294416,0.6498769760131836,6.498769760131836,0.03375999256968498,0.03357347379710712,0.1,float32,float64,29,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,10,30,rng_seed:16986311402255809667,causal_direction_vectors.npz:direction_vectors[30],DD9026A84FCE21CC3B90DC27ABE8AB4C2CB5F1FA317D3B45AC014C12EAD1F140,0.9999968651925141,0.6498769760131836,6.498769760131836,0.02600845880806446,0.025691151997060138,0.1,float32,float64,30,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,11,31,rng_seed:14988312229156316332,causal_direction_vectors.npz:direction_vectors[31],0F957616B513D1876172BAD63472E9CF813517350F148967DC42944C7570B30C,0.9999973879984709,0.6498769760131836,6.498769760131836,0.029584066942334175,0.029329131718649804,0.1,float32,float64,31,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,12,32,rng_seed:8255094935575606976,causal_direction_vectors.npz:direction_vectors[32],F0CAE7B4F3CCC66B829AAFC2FCD82DAEDF4D21E126F1D2B30C6DBC3D6DEBAE2E,0.99999950582092,0.6498769760131836,6.498769760131836,0.025739528238773346,0.02553959093616678,0.1,float32,float64,32,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,13,33,rng_seed:9945892996303439403,causal_direction_vectors.npz:direction_vectors[33],63E024309143E5670748E08A1888DDCD0E409F65EC91A7CBF8E44C2E615ED516,0.9999993547059625,0.6498769760131836,6.498769760131836,0.022962627932429314,0.02245481411583976,0.1,float32,float64,33,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,14,34,rng_seed:3555636770730973014,causal_direction_vectors.npz:direction_vectors[34],531029E96A1B4BF94567766183EE8053202A20A76A27419393341776952C4242,0.9999995857591956,0.6498769760131836,6.498769760131836,0.04447699710726738,0.044416795181753906,0.1,float32,float64,34,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,15,35,rng_seed:9558915806845920898,causal_direction_vectors.npz:direction_vectors[35],9016E49D493195C62EA65BAD2906748C692BE26EE658C2FE9580DD3AB86902EE,0.9999994729898775,0.6498769760131836,6.498769760131836,0.030852796509861946,0.03078079896528829,0.1,float32,float64,35,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,16,36,rng_seed:18438099175195194410,causal_direction_vectors.npz:direction_vectors[36],A839B133AD21B8402598E9DE215F2B5F748849A04F8F9F2A552A5FC7D104148F,0.9999963602366868,0.6498769760131836,6.498769760131836,0.023368410766124725,0.023181682317385377,0.1,float32,float64,36,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,17,37,rng_seed:4912233484991531134,causal_direction_vectors.npz:direction_vectors[37],F0230A1AD44E2616F279BDF65395560153847A7726F6FC6005D25BE5C2038C5F,0.9999823540132771,0.6498769760131836,6.498769760131836,0.02181052789092064,0.020172614645021472,0.1,float32,float64,37,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,18,38,rng_seed:4626460123345037591,causal_direction_vectors.npz:direction_vectors[38],7FC965E7956526EB7926AE963CAF1469F663A32028F2389793E21FEE39B5CDC2,0.9999997951352908,0.6498769760131836,6.498769760131836,0.041256409138441086,0.04103173016657712,0.1,float32,float64,38,CF,W29U_2B98D8963199CEBD39881CF3,S1
