Delta_align,Delta_d,S_sub_F_CF,S_sub_P_CF,checkpoint,d_R_F_CF,d_R_P_CF,r_CF,r_F,r_P,stratum,unit_id
0.021172662014285804,0.6707215649631881,0.9784086082798518,0.9995812702941376,291402,0.7052793837861556,0.034557818822967545,4,3,4,S2,W29U_B580C1E61BF9DD2D208CAADD
0.08213448642765897,0.09975917800309497,0.8006544324656467,0.8827889188933057,291402,1.0043116175488314,0.9045524395457364,3,4,4,S2,W29U_2341959B2E16642BC6F095EA
0.39948553263746456,1.003533479022284,0.5719870280541117,0.9714725606915763,291402,1.3601572824039285,0.35662380338164457,1,2,2,S2,W29U_892DA025ACDFF84933321F20
0.10858120951393735,1.4662356798921539,0.8843912386693872,0.9929724481833245,291402,1.5737471147297626,0.1075114348376088,4,2,4,S2,W29U_73065A553DFE906571964300
0.28077344172797436,0.7465752166387758,0.6713867707436513,0.9521602124716256,291402,0.9710039626443616,0.22442874600558585,3,3,3,S2,W29U_C60ABF0DB56F7FBB9895074C
0.2536149857412875,1.2639273264928494,0.6649705277223296,0.918585513463617,291402,1.6428977086516137,0.3789703821587642,5,2,5,S2,W29U_3DF0E7AAB226AAD308C16CE9
0.02014978605750184,0.5041146147633826,0.9699816487831296,0.9901314348406315,291402,1.1011890380090108,0.5970744232456282,2,3,3,S2,W29U_BFB40E437B015FF1CAF06607
0.2657095436843797,0.5088415185507975,0.6920625563572285,0.9577721000416082,291402,1.4454067415846625,0.936565223033865,2,3,4,S2,W29U_CEE8A1F4EEDE37ED7EE387BD
0.020951780564437472,1.024437514523902,0.9745385726322162,0.9954903531966537,291402,1.1816762552534068,0.15723874072950492,2,3,2,S2,W29U_FDC8D87187069F82ADEA16CB
0.021868947520316095,0.055183079133204194,0.966659081662185,0.988528029182501,291402,0.5622767569902571,0.507093677857053,3,3,3,S2,W29U_930765BC222C77ED6DA8FCF1
0.33360234044891635,1.1656796991308405,0.6479237878913563,0.9815261283402726,291402,1.3080462137152662,0.14236651458442565,3,2,3,S2,W29U_8554CD43CD3B32615F3A644F
0.23515844304692113,-0.05505451376269854,0.7032702154717241,0.9384286585186452,291402,1.3473287953320494,1.402383309094748,5,2,2,S2,W29U_3312DE18215FD10EB1066B20
