checkpoint,stratum,unit_id,native_CF_r90,S_F_CF,S_P_CF,S_P_F,Delta_Align,Delta_PF_Align,dR_F_CF,dR_P_CF,dR_P_F,Delta_d,source_record_index
291403,S1,W29U_C9C26419E0818E40CBA4D6F3,4,0.8605249809621114,0.9557158447514308,0.8976206219101309,0.0951908637893194,0.10237937808986908,0.5127597639076444,0.2998537277124868,0.4320263246592833,0.21290603619515763,179
291403,S1,W29U_C37CB46A6C677AD0D2838FA4,5,0.7213662645493458,0.9540344236715808,0.771514904233518,0.23266815912223493,0.22848509576648202,0.44356729966953223,0.24468631094861926,0.2633711283666986,0.19888098872091298,180
291403,S1,W29U_03C728A071DA819C6F3B21E4,4,0.8676852934344609,0.9621415056213507,0.9139294844401717,0.09445621218688982,0.08607051555982825,0.5162543363395248,0.2816175032395926,0.39348825985854063,0.23463683309993216,181
291403,S1,W29U_C93146E96852E40F0233C116,5,0.5655745803686885,0.9149461851467379,0.6247216151630286,0.3493716047780494,0.3752783848369714,0.6371421377607467,0.3261255622422756,0.5461705314746583,0.31101657551847106,182
291403,S1,W29U_3F4110C5508739D0A0562757,4,0.9022177726745819,0.9693075089262426,0.9477025188649283,0.0670897362516607,0.05229748113507171,0.36647947471378883,0.2039925508259186,0.22944008023969426,0.16248692388787023,183
291403,S1,W29U_5225D08BCA1DB372E74B864E,4,0.9624465938666356,0.9923518956492057,0.9703998888196567,0.029905301782570115,0.029600111180343336,0.29466275560180605,0.14104012358721893,0.23184751482738072,0.15362263201458712,184
291403,S1,W29U_3B1DE5598F0CCCE7F61AFBE1,4,0.8667143284699279,0.9674020278699589,0.9071594290983184,0.10068769940003097,0.09284057090168163,0.5131258201736277,0.28424651099353393,0.4002932374941076,0.2288793091800938,185
291403,S1,W29U_E8621BBB9863314435A966E1,5,0.8282194000703,0.8723988959022385,0.9410991556955256,0.044179495831938476,0.0589008443044744,0.41509314393238916,0.3475528713619486,0.22369966499038618,0.06754027257044054,186
291403,S1,W29U_0BDB0E4B75075FE966B69FDA,4,0.8703556920032146,0.9698385683740665,0.9176662433679372,0.09948287637085185,0.08233375663206277,0.5212717294115549,0.28106743611749335,0.37826265345758947,0.2402042932940615,187
291403,S1,W29U_099BE3736653346E3715B34A,4,0.8524955540586647,0.9585938901302337,0.8775500643272752,0.10609833607156893,0.12244993567272477,0.5501459324486494,0.3036187277324103,0.4627039762466243,0.24652720471623912,188
291403,S1,W29U_32F562E65836D385C8CB4933,4,0.962589069739122,0.9926445971058029,0.9693581741126212,0.030055527366680934,0.03064182588737885,0.25899205848303175,0.0956561705445489,0.22662019757798177,0.16333588793848286,189
291403,S1,W29U_BFAD2644EFC4F67B5A47D53E,4,0.9634439019523675,0.9931325765322994,0.9717826062530271,0.02968867457993185,0.028217393746972852,0.3007662318960873,0.1376741838654663,0.23188286671384273,0.16309204803062102,190
291403,S1,W29U_06C75BD11D18D5EDD00EABD8,4,0.9570716609269765,0.9904211864251309,0.9734418958538082,0.0333495254981544,0.026558104146191752,0.2820188863975877,0.14025198226572594,0.20112513820540864,0.14176690413186177,191
291403,S2,W29U_326073E5F43273FC845408A0,3,0.5321466066827903,0.7275153856926483,0.831107511231384,0.19536877900985794,0.16889248876861596,0.8871728469612571,1.1781384308524026,1.1815033466759302,-0.29096558389114546,192
291403,S2,W29U_76811E4D88E5C2FA3ACD9DD3,4,0.9557225245465382,0.9980785610296303,0.9528906427047512,0.04235603648309216,0.04710935729524879,0.957004817438069,0.05800212503818809,0.9588862663865085,0.8990026923998808,193
291403,S2,W29U_7091BA5B54BA708C00866B17,4,0.8089954234496056,0.9285385970275726,0.9220612536499058,0.11954317357796695,0.07793874635009423,0.8628863918156379,0.8984730722119967,1.159804113383991,-0.035586680396358816,194
291403,S2,W29U_F7AB4F136A77970A34D1A43F,4,0.6390223974815918,0.6949563772992882,0.8836537931094164,0.05593397981769632,0.11634620689058361,0.8965087967215669,1.0619827332215794,0.6847655276616479,-0.16547393650001252,195
291403,S2,W29U_8E712C01124CEB485ECD2748,4,0.7340613735679158,0.9920238455938649,0.7280461659545776,0.25796247202594913,0.2719538340454224,1.0310345060527828,0.10031252339115153,1.0334901654929065,0.9307219826616313,196
291403,S2,W29U_FA9D93D425F5C70A742F5E9C,3,0.9760115028790897,0.9968309386471508,0.967340511617547,0.020819435768061112,0.03265948838245303,1.42777838644005,0.32942088178201495,1.3878610683278205,1.098357504658035,197
291403,S2,W29U_A95DCDBC237EC90DA99443C6,4,0.7381684357299864,0.8828703442254344,0.7644143886276277,0.14470190849544806,0.23558561137237233,1.137497836087586,0.7337891279794423,1.1099797156834488,0.40370870810814374,198
291403,S2,W29U_75056D080DB9B6E897E24389,4,0.9345241616288544,0.9436818097301984,0.9879911996400396,0.009157648101344007,0.012008800359960436,0.6056315680579343,0.7324538765337907,0.4353633087893861,-0.1268223084758564,199
291403,S2,W29U_5D3E6C4B86EA4699F1BA5BC9,4,0.9567777071146678,0.9987675580486588,0.9512001886319915,0.04198985093399099,0.04879981136800848,0.6207798795484656,0.046403437888580853,0.6174332874037224,0.5743764416598848,200
291403,S2,W29U_F0BEB3AB1E28EE7E91693942,4,0.8737328152735693,0.9982280413967691,0.8588721754368465,0.12449522612319985,0.14112782456315354,1.5309544227183542,0.052088479044551876,1.5280074169683673,1.4788659436738023,201
291403,S2,W29U_5D7544863F07E544752F14A3,3,0.9146792016630165,0.9828298200558963,0.9485137342168617,0.06815061839287972,0.05148626578313831,0.9434486241255337,0.5500308865583083,0.5827808918410736,0.3934177375672253,202
291403,S2,W29U_894380770DDE02AAD0312DF3,4,0.74500035917142,0.9829334274193904,0.7321416396959245,0.23793306824797034,0.2678583603040755,0.9349013733164725,0.1269978752629888,0.9385397154616728,0.8079034980534837,203
291403,S2,W29U_B580C1E61BF9DD2D208CAADD,4,0.9786652032605442,0.9954049264055356,0.9727344751196041,0.016739723144991392,0.02726552488039591,0.7077059294031238,0.5283118123929275,0.7473849092094329,0.17939411701019636,204
291403,S2,W29U_2341959B2E16642BC6F095EA,2,0.7026560566291733,0.9268411481662046,0.8631073667770126,0.22418509153703126,0.1368926332229874,1.151863221178484,1.1086872628394415,0.9688599429407426,0.04317595833904253,205
