P_d,P_s,S_sub_gamma_CF,checkpoint,d_R_gamma_CF,gamma,stratum,unit_id
0.6585450339010567,0.11443221327584618,0.9867039032738298,291402,0.10698569070188864,1.0,S1,W29U_D863F5D445E32C9CFE045647
0.0,0.0,0.9575127648964233,291402,0.3463520815800783,0.0,S1,W29U_30410D146F275D9B501A8D8B
-0.04373916039393898,0.007496686885097081,0.9650094517815204,291402,0.3615012308291277,0.25,S1,W29U_30410D146F275D9B501A8D8B
-0.11468811432733766,0.0085102040234184,0.9660229689198417,291402,0.3860745487099604,0.5,S1,W29U_30410D146F275D9B501A8D8B
-0.19470871690512975,0.003551874962948398,0.9610646398593717,291402,0.4137898509821509,0.75,S1,W29U_30410D146F275D9B501A8D8B
-0.2837626500343548,-0.01081287270965825,0.9466998921867651,291402,0.4446338660944401,1.0,S1,W29U_30410D146F275D9B501A8D8B
0.0,0.0,0.5467600785464737,291402,0.7239671235438233,0.0,S1,W29U_AB05A2088E675A5855032D7A
0.09163730090606077,0.029962565770554006,0.5767226443170277,291402,0.6576247303974511,0.25,S1,W29U_AB05A2088E675A5855032D7A
0.18764648484438887,0.08801414771536253,0.6347742262618362,291402,0.5881172376677338,0.5,S1,W29U_AB05A2088E675A5855032D7A
0.31299485498554774,0.16911673498169688,0.7158768135281706,291402,0.4973691386956072,0.75,S1,W29U_AB05A2088E675A5855032D7A
0.5456697750869565,0.3956372249385611,0.9423973034850348,291402,0.32892014606876874,1.0,S1,W29U_AB05A2088E675A5855032D7A
0.0,0.0,0.9557733165384614,291402,0.3407568791083561,0.0,S1,W29U_CBC2DCAEF6675B5D9A70E2E5
0.020027287489424582,0.00881099280308284,0.9645843093415443,291402,0.33393244312643394,0.25,S1,W29U_CBC2DCAEF6675B5D9A70E2E5
0.01049310151467814,0.01291949379649937,0.9686928103349608,291402,0.33718128258403673,0.5,S1,W29U_CBC2DCAEF6675B5D9A70E2E5
-0.02775531835153414,0.009147211367983576,0.964920527906445,291402,0.3502146947685115,0.75,S1,W29U_CBC2DCAEF6675B5D9A70E2E5
-0.09771672890674725,-0.036036862847867224,0.9197364536905942,291402,0.3740545266873943,1.0,S1,W29U_CBC2DCAEF6675B5D9A70E2E5
0.0,0.0,0.4608938301237322,291402,0.7961400033611576,0.0,S1,W29U_21A4C462A4AB85B5ED8A8FB9
0.16052977523441825,0.04540269870324354,0.5062965288269757,291402,0.6683358275663015,0.25,S1,W29U_21A4C462A4AB85B5ED8A8FB9
0.27987461796598095,0.11269032471788887,0.5735841548416211,291402,0.573320624072739,0.5,S1,W29U_21A4C462A4AB85B5ED8A8FB9
0.5648561140342176,0.4125146511163048,0.873408481240037,291402,0.34643545483482036,0.75,S1,W29U_21A4C462A4AB85B5ED8A8FB9
0.735435756035271,0.487201616074442,0.9480954461981742,291402,0.21063017807858606,1.0,S1,W29U_21A4C462A4AB85B5ED8A8FB9
0.0,0.0,0.8458549626139532,291402,0.36271181147182924,0.0,S1,W29U_229702C2BCB73563FD30EE1D
0.13939146097792995,0.035466589728546105,0.8813215523424993,291402,0.3121528821566801,0.25,S1,W29U_229702C2BCB73563FD30EE1D
0.2896557906957228,0.07475497622755534,0.9206099388415085,291402,0.25765023492498895,0.5,S1,W29U_229702C2BCB73563FD30EE1D
0.4780206213857275,0.11400310160290406,0.9598580642168573,291402,0.18932808596764458,0.75,S1,W29U_229702C2BCB73563FD30EE1D
0.714766494468828,0.14322603412624169,0.9890809967401949,291402,0.10345756148295665,1.0,S1,W29U_229702C2BCB73563FD30EE1D
0.0,0.0,0.8432305728636456,291402,0.5136206708218048,0.0,S1,W29U_3BDC39A40CA0FF75A3C3A3A6
-0.012003126211888138,0.03865433327998624,0.8818849061436318,291402,0.5197857245587256,0.25,S1,W29U_3BDC39A40CA0FF75A3C3A3A6
0.164201082891532,0.08867094762609495,0.9319015204897405,291402,0.4292836004772252,0.5,S1,W29U_3BDC39A40CA0FF75A3C3A3A6
0.5030757006081303,0.059764667556259865,0.9029952404199054,291402,0.25523059200080445,0.75,S1,W29U_3BDC39A40CA0FF75A3C3A3A6
-0.08454761154836658,-0.12916143993691231,0.7140691329267332,291402,0.5570460717817428,1.0,S1,W29U_3BDC39A40CA0FF75A3C3A3A6
0.0,0.0,0.8522515711316289,291402,0.3469591205354608,0.0,S1,W29U_4C6ED1EB798517953D0DC778
0.11629302003286385,0.03160640205982501,0.8838579731914539,291402,0.30661019658032934,0.25,S1,W29U_4C6ED1EB798517953D0DC778
0.2423141552675209,0.0632021644361076,0.9154537355677365,291402,0.26288601433030634,0.5,S1,W29U_4C6ED1EB798517953D0DC778
0.3869096780015444,0.09429347983905789,0.9465450509706868,291402,0.21271727892899972,0.75,S1,W29U_4C6ED1EB798517953D0DC778
