C_R_midpoint,E_int16,E_int32,E_int8,E_local,I16_I8_relative,I32_I16_relative,checkpoint,stratum,unit_id
0.469929393119708,2.903743324145858e-05,1.7586753508398287e-06,0.0014216289762183517,0.5828614901523569,0.0013949508046852783,2.7507275952026247e-05,291402,S1,W29U_D72E64A6FE3FD6481A8DD4F3
0.0958165346408428,2.6052444523365532e-06,2.6513396128233605e-06,6.102183112279937e-06,0.23053153223191644,5.530627396434396e-06,4.1726320578341945e-07,291402,S1,W29U_AAD068AB87B51FB466F1641F
0.5497222535432769,5.71836857138165e-06,7.561798455942648e-07,0.0007620856561214845,1.5054803346012695,0.0007635654130372499,5.274463068557398e-06,291402,S1,W29U_6CFF1D75487CD3A42D913977
0.31685847205414697,1.2657802363796141e-05,1.1836647454140728e-06,0.00029298662435657687,0.6010201114691858,0.00028058772482628363,1.1911197784533107e-05,291402,S1,W29U_E39EA8A21758C10BCC5F4B25
0.6679371336442608,1.42106488222136e-06,7.494772699174142e-07,2.0813311302192617e-05,0.2209884779150695,1.9595967900643993e-05,1.2870288297032792e-06,291402,S1,W29U_C886BB9C0B293A1ED9758B14
0.3091136642168349,4.1432344881456393e-05,2.5755854045980603e-06,0.001445534811474244,0.5774786322299762,0.001404700415419967,3.896536475926836e-05,291402,S1,W29U_A5910054BB855156E9B32F8C
0.12504299687112427,1.8165981718321638e-06,1.828909705981621e-06,1.8259638706778557e-06,0.19226403153106458,7.503638991571713e-07,5.6825483915316905e-08,291402,S1,W29U_2A89DC488AD15CBE1249ED0D
0.11541642601311726,1.298923402901791e-06,1.208942361722868e-06,4.703094769297323e-06,0.07198362523646949,4.049242230174218e-06,2.666087492337129e-07,291402,S1,W29U_9D11D773ABD3D5DDFD96D857
0.31870643423437106,2.607982303077884e-05,1.942687484277182e-06,0.0009706913447301141,0.6130841686438933,0.0009479296589660806,2.4332147578006917e-05,291402,S1,W29U_B52BC9EA0A5865F529FD944F
0.2661610951916816,6.41575905031779e-06,1.3975234209634032e-06,0.00011704574943538837,0.49340057431128026,0.00011076908964473065,6.315123058000882e-06,291402,S1,W29U_994622A6D5AD3781B8DCA5E7
0.1689834646999564,1.5007277507939995e-06,8.468301850373779e-07,1.835469145163487e-05,0.27556020908334,1.708087316205247e-05,1.0568491106534798e-06,291402,S1,W29U_35D26B470FA840A2B61FA7BD
0.1536897819257576,2.3208181169759704e-06,2.2530670432110764e-06,5.718280067145668e-06,0.3892451945431526,4.520501299318635e-06,2.5567750257560104e-07,291402,S1,W29U_D863F5D445E32C9CFE045647
0.1621397463137121,2.7378692940432134e-06,1.8566634374467504e-06,2.7611991009316947e-05,0.4010676358385869,2.5492890568913684e-05,1.5768122628541138e-06,291402,S1,W29U_30410D146F275D9B501A8D8B
0.2435068578692164,9.051956222775225e-06,1.4680117264009826e-06,0.00014358874264755196,0.740750516858036,0.0001347617476171878,8.343209206455836e-06,291402,S1,W29U_AB05A2088E675A5855032D7A
0.13835682064426313,2.3089774100869177e-06,2.0608087302557806e-06,2.01926626097563e-05,0.438373875787526,1.9042661673601098e-05,1.1642213969578932e-06,291402,S1,W29U_CBC2DCAEF6675B5D9A70E2E5
