seed,rank,stratum,route,role,denominator,joint_pass_count,joint_coverage,M1_median,M2_median,M3_median,M4_median,M5_median,M6E_pass,M7_pass,capacity_or_registered_cell_pass,failed_gates,semantic_random_control,measurement_reuse
390991,12,S1_NO_CONTACT_WITHIN_HORIZON,A_affine,REGISTERED_AFFINE_REFERENCE,256,256,1.0,0.11637497411649168,0.1280703112969693,0.0801323545395469,0.04771952945381448,0.6075296085327864,True,True,True,,PREDECESSOR_PASS,PER_SEED_RANK
390991,12,S2_EDIT_AFFECTS_FUTURE_CONTACT,A_affine,REGISTERED_AFFINE_REFERENCE,256,252,0.984375,0.02934163563841395,0.11936478903330687,0.1411287949596539,0.08720625874737797,1.8743189983069897,True,True,True,,PREDECESSOR_PASS,PER_SEED_RANK
390991,12,S1_NO_CONTACT_WITHIN_HORIZON,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.027889362942493407,0.06108981689075165,0.029205656800601713,0.032224184893614706,0.6021289620548487,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390991,12,S2_EDIT_AFFECTS_FUTURE_CONTACT,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.02390283434024694,0.07782512885590138,0.044451144642339374,0.04120479320457126,1.3408650644123554,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390991,12,S1_NO_CONTACT_WITHIN_HORIZON,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.026380621194710845,0.06204937856896692,0.027998998495086837,0.032198607450884376,0.6118332501500845,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390991,12,S2_EDIT_AFFECTS_FUTURE_CONTACT,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02407887291935753,0.08002949895132738,0.041340634334536296,0.04276100476666414,1.3050084002315998,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390991,16,S1_NO_CONTACT_WITHIN_HORIZON,A_affine,REGISTERED_AFFINE_REFERENCE,256,256,1.0,0.11683804804609688,0.12826657425449656,0.07998303620788508,0.04759767822471912,0.6101591046899557,True,True,True,,PREDECESSOR_PASS,PER_SEED_RANK
390991,16,S2_EDIT_AFFECTS_FUTURE_CONTACT,A_affine,REGISTERED_AFFINE_REFERENCE,256,251,0.98046875,0.029130586061768955,0.12036000560702295,0.1406494270288418,0.08878738260979152,1.8701797351241112,True,True,True,,PREDECESSOR_PASS,PER_SEED_RANK
390991,16,S1_NO_CONTACT_WITHIN_HORIZON,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.02477848729519159,0.05841221413694602,0.02864168348719123,0.03023006713317068,0.6143825594335794,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390991,16,S2_EDIT_AFFECTS_FUTURE_CONTACT,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.022449418781346875,0.07652993462538085,0.042917733808255386,0.04085656507643283,1.312215719372034,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390991,16,S1_NO_CONTACT_WITHIN_HORIZON,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.026380621194710845,0.06204937856896692,0.027998998495086837,0.032198607450884376,0.6118332501500845,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390991,16,S2_EDIT_AFFECTS_FUTURE_CONTACT,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02407887291935753,0.08002949895132738,0.041340634334536296,0.04276100476666414,1.3050084002315998,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,1,S1_NO_CONTACT_WITHIN_HORIZON,A_affine,REGISTERED_AFFINE_REFERENCE,256,173,0.67578125,0.3317461476342921,0.38069635921388223,0.1797898463015374,0.03285042779498668,0.2249517710879445,True,True,False,JOINT_COVERAGE_BELOW_0.80,PREDECESSOR_PASS,PER_SEED_RANK
390992,1,S2_EDIT_AFFECTS_FUTURE_CONTACT,A_affine,REGISTERED_AFFINE_REFERENCE,256,176,0.6875,0.3353396653645458,0.41478719470648784,0.2843925151901625,0.0497962333478599,0.8648152463138103,True,True,False,JOINT_COVERAGE_BELOW_0.80,PREDECESSOR_PASS,PER_SEED_RANK
390992,1,S1_NO_CONTACT_WITHIN_HORIZON,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,176,0.6875,0.2883074712226308,0.38316132515472634,0.17033433804265016,0.08303793085669627,0.9923466481268406,True,True,False,JOINT_COVERAGE_BELOW_0.80,NOT_APPLICABLE,PER_SEED_RANK
390992,1,S2_EDIT_AFFECTS_FUTURE_CONTACT,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,176,0.6875,0.3128188153915007,0.41189007282411033,0.21369763785163437,0.08656996448278637,1.2087584473192692,True,True,False,JOINT_COVERAGE_BELOW_0.80,NOT_APPLICABLE,PER_SEED_RANK
