seed,rank,stratum,baseline_eligible,joint_pass_count,joint_coverage,eligible_count,static_controls_pass,random_negative_pass,cell_support,failed_gates,M1_median,M2_median,M3_median,M4_median,M5_median,M1_threshold,M2_threshold,M3_threshold,M4_threshold,M5_threshold
390991,4,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,193,0.75390625,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.18743857655643936,0.3507298730884948,0.20105996247369307,0.13163349096751226,1.809866540133953,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390992,4,S1_NO_CONTACT_WITHIN_HORIZON,True,176,0.6875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.2819026460585792,0.3784567329737864,0.15306930410833117,0.059807293219287974,0.760530075058341,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390992,4,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,181,0.70703125,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.22597640804983532,0.38019127528185254,0.2287472093131277,0.12192817762851943,1.712435856461525,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390993,4,S1_NO_CONTACT_WITHIN_HORIZON,True,176,0.6875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.28575371999075433,0.38597412576365975,0.16227512754413176,0.06696767636943521,0.6355491001158953,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390993,4,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,172,0.671875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.16109321806020588,0.3764289711089669,0.2181806494467516,0.17686120878165681,2.399542834609747,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390991,6,S1_NO_CONTACT_WITHIN_HORIZON,True,238,0.9296875,256,True,True,True,,0.18389012882880115,0.2801316516518849,0.11730568584498424,0.07542233814928057,0.639466242864728,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390991,6,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,240,0.9375,256,True,True,True,,0.08573521646471072,0.21662792189244384,0.1708270810719505,0.10982847375669086,1.5043479390442371,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390992,6,S1_NO_CONTACT_WITHIN_HORIZON,True,199,0.77734375,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.2396152432018258,0.29385389246957105,0.13065890151419038,0.05978872796665173,0.9882943704724312,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390992,6,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,176,0.6875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.10674885093504985,0.20821891558903927,0.21592078032760265,0.1571996471217714,2.100563980638981,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390993,6,S1_NO_CONTACT_WITHIN_HORIZON,True,216,0.84375,256,True,True,True,,0.22850757523570447,0.2887023184470272,0.12619554333348532,0.06825913324494337,1.0174170136451721,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390993,6,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,140,0.546875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.08203204675058744,0.2403572024136992,0.2284467584869801,0.21114667131374382,2.9967159032821655,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390991,8,S1_NO_CONTACT_WITHIN_HORIZON,True,256,1.0,256,True,True,True,,0.11914146812655252,0.12944942710450227,0.08019807619975472,0.04810372856103545,0.6149561610072851,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390991,8,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,247,0.96484375,256,True,True,True,,0.029405791459131803,0.12344078911996947,0.14034085645810002,0.09161010020112664,1.7031964845955372,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390992,8,S1_NO_CONTACT_WITHIN_HORIZON,True,219,0.85546875,256,True,True,True,,0.20708876460183398,0.20430132364018266,0.1121160100285425,0.046631834834501715,1.0711337439715862,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390992,8,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,195,0.76171875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.041152698873721846,0.1598872463815316,0.19008864802155045,0.1425065771498873,2.5799723342061043,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390993,8,S1_NO_CONTACT_WITHIN_HORIZON,True,222,0.8671875,256,True,True,True,,0.22006249641248585,0.2674385558835799,0.12195093905939149,0.06591573106382423,1.0454723611474037,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390993,8,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,149,0.58203125,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.06367680113428138,0.19797253615262117,0.21489802745653713,0.21791958210010362,3.0445736832916737,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390991,12,S1_NO_CONTACT_WITHIN_HORIZON,True,256,1.0,256,True,True,True,,0.11637497411649168,0.1280703112969693,0.0801323545395469,0.04771952945381448,0.6075296085327864,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390991,12,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,252,0.984375,256,True,True,True,,0.02934163563841395,0.11936478903330687,0.1411287949596539,0.08720625874737797,1.8743189983069897,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390992,12,S1_NO_CONTACT_WITHIN_HORIZON,True,223,0.87109375,256,True,True,True,,0.2042761262947699,0.2010463640172187,0.11268258508586518,0.04718274387473888,1.0310583747923374,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390992,12,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,195,0.76171875,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.042132817784497276,0.1628124791611394,0.18953500030390819,0.1432782530334521,2.6281832717359066,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390993,12,S1_NO_CONTACT_WITHIN_HORIZON,True,247,0.96484375,256,True,True,True,,0.1924441367863884,0.20558047487405448,0.09979910283568928,0.05468096349541672,1.0425341315567493,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390993,12,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,182,0.7109375,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.040387579047766284,0.1591595860937816,0.18428324612967567,0.17062972403494775,2.853812649846077,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390991,16,S1_NO_CONTACT_WITHIN_HORIZON,True,256,1.0,256,True,True,True,,0.11683804804609688,0.12826657425449656,0.07998303620788508,0.04759767822471912,0.6101591046899557,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390991,16,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,251,0.98046875,256,True,True,True,,0.029130586061768955,0.12036000560702295,0.1406494270288418,0.08878738260979152,1.8701797351241112,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390992,16,S1_NO_CONTACT_WITHIN_HORIZON,True,223,0.87109375,256,True,True,True,,0.20323008359944222,0.20102766977993258,0.11265227692012278,0.04763981556317139,1.0037641506642103,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390992,16,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,194,0.7578125,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.03934066867740632,0.16629509354968158,0.18942410629810313,0.14265493271740937,2.6007897220551968,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
390993,16,S1_NO_CONTACT_WITHIN_HORIZON,True,247,0.96484375,256,True,True,True,,0.19198942334948116,0.2063070435264279,0.09947449262224636,0.055165061967886626,1.0326412506401539,0.38875516163789126,0.6530927312234215,0.28744727060560543,0.3393832556356259,20.260185026563704
390993,16,S2_EDIT_AFFECTS_FUTURE_CONTACT,True,181,0.70703125,256,True,True,False,JOINT_COVERAGE_BELOW_0.80,0.040565328130299574,0.16057011838958044,0.184083555676128,0.17164645500581233,2.8974901884794235,0.4669759655361256,0.6568131957898696,0.5513987778513324,0.25616304846974386,10.47115975990891
